closing,murder_flag,lat,lon,adult_price,latlon,,,date,time,time_range,hour_range
May,Murdered,40.656574,-73.931405,5,"40.656574,-73.931405",,,5/25/2022,18:53:00,18,6PM-8:59PM
January,Not Murdered,40.800987,-73.953221,1,"40.800987,-73.953221",,,1/30/2022,16:30:00,16,3PM-5:59PM
January,Not Murdered,40.647321,-73.896997,1,"40.647321,-73.896997",,,1/25/2022,5:39:00,5,3AM-5:59AM
April,Not Murdered,40.69648,-73.900186,4,"40.69648,-73.900186",,,4/23/2022,3:55:00,3,3AM-5:59AM
December,Not Murdered,40.85469705,-73.89534312,12,"40.85469705,-73.89534312",,,12/1/2022,23:54:00,23,9PM-11:59PM
August,Not Murdered,40.633304,-73.92115,8,"40.633304,-73.92115",,,8/28/2022,13:30:00,13,12PM-2:59PM
August,Not Murdered,40.706647,-73.754276,8,"40.706647,-73.754276",,,8/25/2022,22:30:00,22,9PM-11:59PM
August,Not Murdered,40.650921,-73.930294,8,"40.650921,-73.930294",,,8/21/2022,7:14:00,7,6AM-8:59AM
August,Murdered,40.65572597,-73.75129439,8,"40.65572597,-73.75129439",,,8/7/2022,18:14:00,18,6PM-8:59PM
December,Not Murdered,40.753997,-73.864793,12,"40.753997,-73.864793",,,12/25/2022,2:09:00,2,12AM-2:59AM
November,Not Murdered,40.823935,-73.917485,11,"40.823935,-73.917485",,,11/19/2022,2:12:00,2,12AM-2:59AM
March,Not Murdered,40.804711,-73.937173,3,"40.804711,-73.937173",,,3/31/2022,13:30:00,13,12PM-2:59PM
July,Not Murdered,40.786582,-73.940798,7,"40.786582,-73.940798",,,7/23/2022,2:02:00,2,12AM-2:59AM
July,Murdered,40.666038,-73.906938,7,"40.666038,-73.906938",,,7/12/2022,21:10:00,21,9PM-11:59PM
July,Not Murdered,40.698695,-73.939859,7,"40.698695,-73.939859",,,7/22/2022,18:33:00,18,6PM-8:59PM
